,lons,lats,data_values,data_errors,data_types,data_refs,model_values,diffs
0,-78.757,-11.425,42.0,4.24,1,1,32.77448427876594,-9.22551572123406
1,-78.757,-11.41,40.0,4.08,1,1,32.7800058347209,-7.219994165279097
2,-78.765,-11.413,41.0,4.16,1,1,32.66221145653409,-8.337788543465912
3,-78.765,-11.415,42.0,4.32,1,1,32.66084351506815,-9.339156484931848
4,-78.798,-11.425,35.0,3.6,1,1,32.08720572270499,-2.9127942772950135
5,-79.212,-11.152000000000001,49.0,7.35,1,1,31.203206143809332,-17.796793856190668
6,-79.2,-11.142000000000001,49.0,7.35,1,1,30.561832984179265,-18.438167015820735
7,-78.27199999999999,-11.062999999999999,27.5,2.5,1,1,38.422853061906686,10.922853061906686
8,-78.078,-11.065,45.0,25.0,1,1,40.930958373699525,-4.069041626300475
9,-76.892,-13.48,45.0,9.13,1,1,36.051134905876104,-8.948865094123896
10,-76.991,-12.863,60.0,10.0,1,1,41.972072522530176,-18.027927477469824
11,-78.943,-11.538,46.0,9.13,1,1,28.68148700985677,-17.31851299014323
12,-68.75,-33.25,63.0,12.6,2,2,63.44438794347844,0.44438794347843924
13,-63.45,-20.983,47.0,9.4,2,2,55.20603738734729,8.206037387347287
14,-63.183,-20.933000000000003,50.0,10.0,2,2,54.91409050603711,4.9140905060371125
15,-66.067,-20.9,70.0,14.0,2,2,60.5196653606234,-9.4803346393766
16,-63.2,-20.433,55.0,11.0,2,2,53.55222738996493,-1.4477726100350665
17,-63.567,-20.017,33.0,6.6,2,2,52.86145404774892,19.86145404774892
18,-63.217,-19.3,54.0,10.8,2,2,50.85235046179341,-3.1476495382065934
19,-63.016999999999996,-17.933,53.0,10.6,2,2,50.75994096499569,-2.2400590350043075
20,-63.533,-17.533,50.0,10.0,2,2,51.60101452190913,1.6010145219091285
21,-63.266999999999996,-17.517,56.0,11.2,2,2,51.51914574878386,-4.480854251216137
22,-64.067,-17.1,59.0,11.8,2,2,52.32063310269688,-6.679366897303119
24,-73.607,-37.663000000000004,63.0,12.6,2,2,44.32602996549873,-18.673970034501266
25,-73.5,-37.431,79.0,15.8,2,2,43.46003437737492,-35.53996562262508
26,-69.917,-19.709,93.0,18.6,2,2,45.25045343552325,-47.74954656447675
27,-73.75,-15.517000000000001,44.0,8.8,2,3,52.4046259496497,8.404625949649699
28,-71.35,-14.9,32.0,4.8,2,3,66.53383431514166,34.53383431514166
29,-71.567,-16.55,44.0,4.4,2,3,54.79105694109792,10.79105694109792
30,-70.65,-17.267,66.0,3.3,2,3,56.722206458429035,-9.277793541570965
31,-76.75,-10.482999999999999,17.0,3.4,2,3,52.88805476690321,35.88805476690321
32,-76.6,-12.683,35.0,3.5,2,3,49.41608846443663,14.416088464436633
33,-70.767,-17.067,57.0,8.55,2,3,55.99633694451201,-1.0036630554879906
34,-66.817,-18.167,90.0,27.0,2,3,61.02341185052039,-28.97658814947961
35,-68.233,-17.567,73.0,14.6,2,3,66.30835181077668,-6.691648189223315
36,-67.733,-16.417,68.0,6.8,2,3,60.8212793726179,-7.1787206273820985
37,-71.417,-14.9,75.0,,2,4,66.74909452523393,-8.250905474766071
38,-70.3,-16.933,50.0,,2,4,65.72525254781118,15.72525254781118
39,-66.48,-24.017,125.0,,3,4,70.95711504314284,-54.042884956857165
40,-66.45,-24.27,121.0,,3,4,71.48801811595101,-49.51198188404899
41,-66.55,-24.37,100.0,,3,4,71.81221220249157,-28.187787797508435
42,-68.467,-27.7,81.7,,3,4,66.65963381090985,-15.04036618909015
43,-68.333,-28.033,78.0,,3,4,61.440071114926184,-16.559928885073816
44,-68.37,-27.333000000000002,100.0,,3,4,68.66458642922326,-31.335413570776737
45,-68.083,-26.92,105.0,,3,4,71.30357137193269,-33.69642862806731
46,-68.767,-27.916999999999998,77.0,,3,4,64.91351562953349,-12.086484370466508
47,-66.583,-21.033,75.0,,2,4,62.489897956889884,-12.510102043110116
48,-66.05,-21.25,70.0,,2,4,60.6065114613894,-9.393488538610598
49,-66.683,-21.3,94.0,,2,4,63.15875266435823,-30.841247335641768
50,-67.183,-19.383,83.0,,2,4,65.00156012900048,-17.99843987099952
51,-66.133,-21.166999999999998,94.0,,2,4,61.03589159478032,-32.96410840521968
52,-69.5,-15.5,55.0,,4,4,65.33622389313783,10.336223893137827
53,-64.283,-22.767,27.0,,2,4,59.66068961311408,32.66068961311408
54,-66.833,-18.467,109.0,,2,4,61.72145794616729,-47.27854205383271
55,-66.583,-18.417,66.0,,2,4,60.378433763994856,-5.621566236005144
56,-67.133,-17.383,75.0,,2,4,59.7526331348689,-15.247366865131099
57,-69.017,-15.783,99.0,,2,4,63.4253068074016,-35.5746931925984
58,-66.833,-18.283,112.0,,2,4,61.15776962247306,-50.84223037752694
59,-69.05,-15.767000000000001,106.0,,2,4,63.546145770378516,-42.453854229621484
60,-67.533,-17.067,62.0,,2,4,60.08847276176098,-1.9115272382390174
61,-70.5,-35.27,102.0,,3,4,79.27234800544414,-22.727651994555856
62,-70.417,-33.417,78.0,,3,4,60.875679367675666,-17.124320632324334
63,-70.05,-33.833,101.0,,3,4,71.27140699021841,-29.72859300978159
64,-70.667,-33.45,93.0,,3,4,60.623743777099506,-32.376256222900494
65,-71.567,-36.266999999999996,128.0,,3,4,65.2388778979008,-62.76112210209919
66,-70.633,-33.167,97.0,,3,4,55.62270199790932,-41.37729800209068
67,-70.167,-33.467,61.0,,2,4,62.66936470505643,1.6693647050564309
68,-70.75,-33.333,79.0,,2,4,54.51188213712553,-24.488117862874468
69,-70.717,-28.083000000000002,23.0,,3,4,46.91431229988545,23.914312299885452
70,-70.35,-27.1,36.0,,3,4,51.929093065043325,15.929093065043325
71,-70.383,-27.267,36.0,,3,4,50.41497524671076,14.41497524671076
72,-70.3,-26.533,10.0,,3,4,49.94606052967255,39.94606052967255
73,-71.583,-30.717,72.0,,3,4,36.622294391559464,-35.377705608440536
74,-70.833,-28.983,36.0,,3,4,44.580256055255695,8.580256055255695
75,-72.283,-40.2,110.0,,3,4,75.53303205287888,-34.46696794712112
76,-70.333,-35.27,88.0,,3,4,76.61744121688952,-11.382558783110483
77,-69.32,-28.7,72.0,,3,4,57.8345432776356,-14.165456722364397
78,-69.87,-35.17,85.0,,3,4,75.66370135572049,-9.336298644279509
79,-69.97,-35.17,85.0,,3,4,75.53524842947387,-9.464751570526133
80,-69.67,-29.32,76.0,,3,4,54.89691308892958,-21.10308691107042
81,-71.13,-37.58,80.0,,3,4,81.33210366553163,1.3321036655316334
82,-69.93,-32.68,70.0,,3,4,60.12035620587441,-9.879643794125592
83,-70.05,-34.75,104.0,,3,4,75.82047025644094,-28.17952974355906
84,-71.083,-37.52,95.0,,3,4,81.2021431506928,-13.797856849307195
85,-69.567,-26.25,75.0,,3,4,56.937426890658514,-18.062573109341486
86,-71.6,-16.5,41.0,,2,4,54.80030099316645,13.800300993166452
87,-70.517,-16.85,42.0,,2,4,65.67087167122008,23.670871671220084
88,-62.617,-39.65,77.0,,3,4,64.63942582124686,-12.36057417875314
89,-62.7,-39.5,69.0,,3,4,64.40804438843625,-4.591955611563748
90,-62.3,-38.32,55.0,,3,4,61.68378419628253,6.683784196282531
91,-63.25,-38.683,77.0,,3,4,62.410146643324666,-14.589853356675334
92,-78.878,-11.187000000000001,59.1,5.0,4,5,32.10360094658515,-26.996399053414848
93,-78.682,-11.115,35.9,7.0,4,5,34.54110756520234,-1.35889243479766
94,-78.67699999999999,-11.113,41.1,7.0,4,5,34.60556803888369,-6.494431961116312
95,-78.669,-11.109000000000002,34.7,6.0,4,5,34.71002101880795,0.010021018807947257
96,-78.957,-11.583,48.4,10.0,4,5,29.547747696235035,-18.852252303764963
97,-78.95,-11.577,45.1,9.0,4,5,29.311717453144613,-15.788282546855388
98,-78.943,-11.571,42.3,10.0,4,5,29.126500367481835,-13.173499632518162
99,-78.936,-11.565999999999999,47.1,10.0,4,5,29.0117970263617,-18.0882029736383
100,-78.929,-11.56,51.7,10.0,4,5,28.92507539393355,-22.774924606066453
101,-78.922,-11.571,52.0,11.0,4,5,29.17073429435927,-22.82926570564073
102,-78.907,-11.542,55.4,11.0,4,5,28.964570688698334,-26.435429311301665
103,-71.64699999999999,-15.1,110.0,,3,6,66.20527374658036,-43.79472625341964
104,-74.45,-41.0,38.3,7.66,4,7,45.16517590642072,6.865175906420724
105,-73.682,-36.219,34.9,6.98,4,7,35.531343918064856,0.6313439180648572
106,-73.566,-36.16,35.7,7.14,4,7,37.57900608968839,1.8790060896883887
107,-70.8,-21.979,35.5,,4,8,33.971800484888604,-1.528199515111396
108,-70.718,-22.19,43.0,,4,8,35.451842384017304,-7.548157615982696
109,-70.832,-23.759,17.0,,4,8,37.04706008085945,20.047060080859453
110,-70.98899999999999,-23.973000000000003,37.8,,4,8,35.62266572680179,-2.1773342731982055
111,-70.805,-23.763,7.0,,4,8,37.4537617912893,30.453761791289303
112,-71.053,-23.42,27.5,,4,8,33.50954496903883,6.009544969038828
113,-68.232,-23.28,17.0,2.89,2,9,62.79972130699774,45.79972130699774
114,-70.182,-22.678,17.0,2.89,2,9,43.01692687583622,26.01692687583622
115,-70.093,-23.433000000000003,24.0,4.08,2,9,43.45962332956083,19.459623329560827
116,-68.915,-22.372,55.0,9.35,2,9,53.95843140105804,-1.0415685989419572
117,-68.913,-22.818,47.0,7.99,2,9,54.08744850172389,7.087448501723891
118,-63.418,-18.88,40.0,6.8,2,9,50.565655862930996,10.565655862930996
119,-64.348,-22.682,39.0,6.63,2,9,59.56582085882,20.565820858819997
120,-63.488,-21.123,38.0,6.46,2,9,55.81573366034131,17.81573366034131
121,-63.563,-20.083,21.0,3.57,2,9,53.07314918839851,32.07314918839851
122,-63.547,-17.53,36.0,6.12,2,9,51.58673664583212,15.586736645832119
123,-64.262,-17.055,42.0,7.14,2,9,52.56853027202321,10.56853027202321
124,-63.268,-17.518,43.0,7.31,2,9,51.51800065624464,8.518000656244638
125,-63.22,-19.3,40.0,6.8,2,9,50.85221808697643,10.852218086976428
126,-63.578,-20.265,38.0,6.46,2,9,53.62468324679209,15.624683246792088
127,-63.598,-21.991999999999997,55.0,9.35,2,9,56.20214832730526,1.2021483273052596
128,-63.946999999999996,-20.042,32.0,5.44,2,9,53.92339176828543,21.923391768285427
129,-62.933,-17.545,54.0,9.18,2,9,51.68645716833127,-2.3135428316687268
130,-62.29,-17.995,37.0,6.29,2,9,51.43374123925426,14.43374123925426
131,-63.1,-21.173000000000002,49.0,8.33,2,9,55.19107966547865,6.191079665478647
132,-62.965,-17.972,38.0,6.46,2,9,50.78596620610714,12.78596620610714
133,-63.215,-20.761999999999997,43.0,7.31,2,9,54.381121385312454,11.381121385312454
134,-62.907,-18.16,43.0,7.31,2,9,50.74535495799647,7.745354957996469
135,-63.283,-18.487000000000002,39.0,6.63,2,9,50.28799995745931,11.287999957459313
136,-63.528,-19.14,36.0,6.12,2,9,50.67843182186368,14.678431821863683
137,-62.222,-18.375,45.0,7.65,2,9,51.024916162767504,6.024916162767504
138,-63.288000000000004,-21.245,42.0,7.14,2,9,55.450514736608476,13.450514736608476
139,-63.185,-20.93,47.0,7.99,2,9,54.905868861317785,7.905868861317785
140,-64.038,-17.018,43.0,7.31,2,9,52.41003213268123,9.41003213268123
141,-62.957,-20.252,38.0,6.46,2,9,53.18907963766881,15.189079637668812
142,-73.546,-37.652,63.0,,2,10,45.18259078844332,-17.81740921155668
144,-69.917,-19.683,93.0,,2,10,45.582808672194496,-47.417191327805504
145,-72.833,-38.583,89.0,,2,10,56.14604772427794,-32.85395227572206
146,-75.578,-42.841,72.0,,4,11,3.0355079977050994,-68.9644920022949
147,-75.566,-42.839,68.0,,4,11,5.013468865070412,-62.986531134929585
148,-75.554,-42.838,62.0,,4,11,7.1803685557126595,-54.81963144428734
149,-75.542,-42.836999999999996,60.0,,4,11,9.495737848506918,-50.50426215149308
150,-75.53,-42.835,59.0,,4,11,11.905099365290711,-47.09490063470929
151,-75.53,-42.835,59.0,,4,11,11.905099365290711,-47.09490063470929
152,-75.206,-42.793,59.0,,4,11,35.98167856475008,-23.018321435249923
153,-75.074,-40.68,31.0,,4,11,2.4784991947430095,-28.52150080525699
154,-75.062,-40.679,33.0,,4,11,2.9797853776475027,-30.020214622352498
155,-75.05,-40.678000000000004,39.0,,4,11,3.5651100621428045,-35.43488993785719
156,-75.038,-40.677,27.0,,4,11,4.248607675787516,-22.751392324212482
157,-75.02600000000001,-40.675,40.0,,4,11,4.8575016338093,-35.1424983661907
158,-75.015,-40.674,47.0,,4,11,5.682983321731783,-41.31701667826822
159,-73.738,-36.211999999999996,52.5,,1,12,34.25249556959626,-18.247504430403737
160,-73.748,-36.21,41.9,,1,12,34.08386362372653,-7.8161363762734695
161,-73.76,-36.209,42.4,,1,12,33.9534046911773,-8.446595308822701
162,-73.77,-36.208,41.8,,1,12,33.88138938825237,-7.918610611747624
163,-73.781,-36.205999999999996,42.9,,1,12,33.83570278549585,-9.064297214504151
164,-73.792,-36.204,42.7,,1,12,33.849472864938086,-8.850527135061917
165,-73.804,-36.203,33.8,,1,12,33.950985094490036,0.15098509449003927
166,-73.829,-36.199,37.1,,1,12,34.36768013396154,-2.732319866038459
167,-73.836,-36.198,39.7,,1,12,34.52496201662824,-5.175037983371766
168,-74.178,-36.150999999999996,19.3,,1,12,-0.43003447423766494,-19.730034474237666
169,-74.154,-36.152,20.2,,1,12,3.650416260829132,-16.549583739170867
170,-74.131,-36.156,21.8,,1,12,8.236912242998352,-13.563087757001648
171,-74.111,-36.161,20.8,,1,12,12.490294713219622,-8.309705286780378
172,-74.071,-36.165,33.2,,1,12,20.967512328724823,-12.23248767127518
173,-74.057,-36.167,41.3,,1,12,23.7441763989859,-17.555823601014097
174,-74.03699999999999,-36.169000000000004,59.4,,1,12,27.39432440594616,-32.00567559405384
175,-74.017,-36.172,45.3,,1,12,30.48447922512849,-14.815520774871509
176,-74.005,-36.175,55.0,,1,12,31.973327827999928,-23.026672172000072
177,-73.994,-36.176,48.8,,1,12,33.166405514360676,-15.633594485639321
178,-73.985,-36.178000000000004,58.3,,1,12,33.92441939779277,-24.37558060220723
179,-73.972,-36.18,49.2,,1,12,34.81086918066835,-14.389130819331655
180,-72.35600000000001,-33.472,34.0,,4,13,35.54127785218954,1.5412778521895376
181,-72.337,-33.478,38.0,,4,13,35.939134006096864,-2.0608659939031355
182,-72.318,-33.481,46.0,,4,13,36.25559478601254,-9.744405213987463
183,-72.301,-33.484,50.0,,4,13,36.53501923839033,-13.464980761609667
184,-72.281,-33.489000000000004,57.0,,4,13,36.887920068523435,-20.112079931476565
